Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.7024240000,5.2685399977,7.7566229990
64,18.0745249996,5.7783900024,11.3931360021
128,25.8508409997,5.8589160005,18.6412990028
256,40.3952230001,6.0893970011,32.1781960009
512,69.0614350000,5.8848320004,59.4970020000
1000,124.7408849997,5.9321810044,112.0393099999
2000,237.0950490003,6.1462490018,217.7003539996
4000,463.4006149992,6.1390610021,431.3411520030
