Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,10.3156940001,5.0763510005,4.8909090001
64,11.5573910000,5.5043139993,5.7086740006
128,14.0635320002,5.2663929996,8.3805560002
256,35.0948620001,5.4633820001,29.0188239992
512,220.5929310001,5.7418639991,213.4000999997
1000,5106.8992770000,5.9563000000,5096.5778699995
2000,53376.0358810001,6.2208150008,53352.6960399998
4000,408338.0395100000,7.1094099991,408268.2647630002
