Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,10.6964439992,5.1300440021,4.9434779976
64,11.5644409992,5.1532069985,5.5080770012
128,15.1526580006,5.3111939952,8.5373469982
256,36.6502550002,5.6110359989,28.7732309941
512,225.3253130000,5.9161940068,214.6397179998
1000,5202.4361840002,6.1135790031,5184.3589670006
2000,53243.7781629991,6.9459419940,53205.6464430057
4000,416975.5250500012,7.2343359943,416872.3992810026
