Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,35.1954130000,5.7399739986,28.7058829963
64,69.9195250003,5.8740759995,63.0652769990
128,138.1728780000,5.9340030020,130.8253270034
256,275.5696600005,5.9590750020,267.2591850013
512,549.9456340000,6.0354079995,539.6426040027
1000,1073.0325210001,6.0989629980,1057.9022989953
2000,2141.1782679996,6.1764270039,2118.8710460011
4000,4280.5003900006,6.0548280012,4247.5646060016
