Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.2798359999,5.0495330007,7.6121830004
64,17.4982640003,5.6816389994,10.9924559994
128,24.9239449999,5.5898020011,18.0311020012
256,39.1334819999,5.5530460007,31.6078519998
512,67.9643150000,5.6493160008,58.7829689998
1000,122.7742409999,5.6895769988,110.4273919994
2000,234.1852540001,5.6798859998,215.6673999992
4000,457.3426779998,5.7191990004,426.6036699992
