Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.1801970000,4.9328330001,7.6557840002
64,17.3305569999,5.5317279999,11.0047450000
128,24.9358659997,5.7988530002,17.9048250001
256,39.3208210003,5.5884300009,31.7073189989
512,68.1030649999,5.6419599983,58.9009339991
1000,123.0432430003,5.5380310011,110.8628720003
2000,234.2819730002,5.7121609999,215.7413050006
4000,457.6946469997,5.7045599986,426.4940850013
