Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.3505030000,5.1111920003,7.6291239993
64,17.5317650000,5.6571620007,11.0678709992
128,25.3433959999,5.7615750006,18.2027329998
256,39.2606430000,5.6805520002,31.5588469999
512,69.0792510000,5.9229279996,58.6326150000
1000,122.2794610001,5.6582439994,110.1872040008
2000,234.0326830000,5.6485649999,215.7288829994
4000,462.4976929999,5.9153489992,427.1593630002
