Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,12.8041560000,5.0824740010,7.3790710000
64,17.1808419998,5.7367559995,11.0751150006
128,23.8730199998,5.7036100002,17.8175170007
256,37.0783479998,5.3196870000,31.4078700007
512,64.4852930000,5.4414049997,58.6809079996
1000,116.0234190000,5.5095930006,110.1173329996
2000,221.2307229999,5.4550840000,215.3133740001
4000,432.0273269999,5.4360740006,426.0319630001
